Name,Level,School,Casting Time,Ritual,Duration,Concentration,Range (feet),Area (feet),Area Type,Attack/ Save,Damage/Effect,V,S,M,Materials,Consumed,Spell Tags,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Source,Details,Link,
Conjure Celestial,7,Conjuration,1 Action,FALSE,10 Minutes,TRUE,90,10,Cylindar,Dexterity,Radiant,TRUE,TRUE,FALSE,,FALSE,"Healing, Damage",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You conjure a spirit from the Upper Planes, which manifests as a pillar of light in a 10-foot-radius, 40-foot-high Cylinder centered on a point within range. For each creature you can see in the Cylinder, choose which of these lights shines on it: Healing Light. The target regains Hit Points equal to 4d12 plus your spellcasting ability modifier. Searing Light. The target makes a Dexterity saving throw, taking 6d12 Radiant damage on a failed save or half as much damage on a successful one. Until the spell ends, Bright Light fills the Cylinder, and when you move on your turn, you can also move the Cylinder up to 30 feet. Whenever the Cylinder moves into the space of a creature you can see and whenever a creature you can see enters the Cylinder or ends its turn there, you can bathe it in one of the lights. A creature can be affected by this spell only once per turn. Using a Higher-Level Spell Slot. The healing and damage increase by 1d12 for each spell slot level above 7.",https://www.dndbeyond.com/spells/2619046-conjure-celestial,
Conjure Elemental,5,Conjuration,1 Action,FALSE,10 Minutes,TRUE,60,,,,Cold,TRUE,TRUE,FALSE,,FALSE,Summoning,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You conjure a Large, intangible spirit from the Elemental Planes that appears in an unoccupied space within range. Choose the spirit’s element, which determines its damage type: air (Lightning), earth (Thunder), fire (Fire), or water (Cold). The spirit lasts for the duration. Whenever a creature you can see enters the spirit’s space or starts its turn within 5 feet of the spirit, you can force that creature to make a Dexterity saving throw if the spirit has no creature Restrained. On failed save, the target takes 8d8 damage of the spirit’s type, and the target has the Restrained condition until the spell ends. At the start of each of its turns, the Restrained target repeats the save. On a failed save, the target takes 4d8 damage of the spirit’s type. On a successful save, the target isn’t Restrained by the spirit. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.",https://www.dndbeyond.com/spells/2619047-conjure-elemental,
Conjure Fey,6,Conjuration,1 Action,FALSE,10 Minutes,TRUE,60,,,Melee,Psychic,TRUE,TRUE,FALSE,,FALSE,"Summoning, Damage, Debuff",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You conjure a Medium spirit from the Feywild in an unoccupied space you can see within range. The spirit lasts for the duration, and it looks like a Fey creature of your choice. When the spirit appears, you can make one melee spell attack against a creature within 5 feet of it. On a hit, the target takes Psychic damage equal to 3d12 plus your spellcasting ability modifier, and the target has the Frightened condition until the start of your next turn, with both you and the spirit as the source of the fear. As a Bonus Action on your later turns, you can teleport the spirit to an unoccupied space you can see within 30 feet of the space it left and make the attack against a creature within 5 feet of it. Using a Higher-Level Spell Slot. The damage increases by 1d12 for each spell slot level above 6.",https://www.dndbeyond.com/spells/2619048-conjure-fey,
Conjure Minor Elements,4,Conjuration,1 Action,FALSE,10 Minutes,TRUE,Self,15,Sphere,,Acid,TRUE,TRUE,FALSE,,FALSE,Damage,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You conjure spirits from the Elemental Planes that flit around you in a 15-foot Emanation for the duration. Until the spell ends, any attack you make deals an extra 2d8 damage when you hit a creature in the Emanation. This damage is Acid, Cold, Fire, or Lightning (your choice when you make the attack). In addition, the ground in the Emanation is Difficult Terrain for your enemies. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2619049-conjure-minor-elementals,
Conjure Volley,5,Conjuration,1 Action,FALSE,Instantaneous,FALSE,150,40,Cylindar,Dexterity,Force,TRUE,TRUE,TRUE,Melee or Ranged weapon worth at least 1 CP,FALSE,Damage,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"You brandish the weapon used to cast the spell and choose a point within range. Hundreds of similar spectral weapons (or ammunition appropriate to the weapon) fall in a volley and then disappear. Each creature of your choice that you can see in a 40-foot-radius, 20-foot-high Cylinder centered on that point makes a Dexterity saving throw. A creature takes 8d8 Force damage on a failed save or half as much damage on a successful one.",https://www.dndbeyond.com/spells/2619050-conjure-volley,
Conjure Woodland Beings,4,Conjuration,1 Action,FALSE,10 Minutes,TRUE,Self,10,Sphere,Wisdom,Force,TRUE,TRUE,FALSE,,FALSE,Summoning,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"You conjure nature spirits that flit around you in a 10-foot Emanation for the duration. Whenever the Emanation enters the space of a creature you can see and whenever a creature you can see enters the Emanation or ends its turn there, you can force that creature to make a Wisdom saving throw. The creature takes 5d8 Force damage on a failed save or half as much damage on a successful one. A creature makes this save only once per turn. In addition, you can take the Disengage action as a Bonus Action for the spell’s duration. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2619051-conjure-woodland-beings,
Contact Other Plane,5,Divination,Self,FALSE,1 Minute,FALSE,Self,,,,Communication,TRUE,FALSE,FALSE,,FALSE,"Communication, Foreknowledge",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PHB 2024,"You mentally contact a demigod, the spirit of a long-dead sage, or some other knowledgeable entity from another plane. Contacting this otherworldly intelligence can break your mind. When you cast this spell, make a DC 15 Intelligence saving throw. On a successful save, you can ask the entity up to five questions. You must ask your questions before the spell ends. The DM answers each question with one word, such as “yes,” “no,” “maybe,” “never,” “irrelevant,” or “unclear” (if the entity doesn’t know the answer to the question). If a one-word answer would be misleading, the DM might instead offer a short phrase as an answer. On a failed save, you take 6d6 Psychic damage and have the Incapacitated condition until you finish a Long Rest. A Greater Restoration spell cast on you ends this effect.",https://www.dndbeyond.com/spells/2619052-contact-other-plane,
Contagion,5,Necromancy,1 Action,FALSE,7 Days,FALSE,Touch,,,Constitution,Necrotic,TRUE,TRUE,FALSE,,FALSE,Debuff,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"Your touch inflicts a magical contagion. The target must succeed on a Constitution saving throw or take 11d8 Necrotic damage and have the Poisoned condition. Also, choose one ability when you cast the spell. While Poisoned, the target has Disadvantage on saving throws made with the chosen ability. The target must repeat the saving throw at the end of each of its turns until it gets three successes or failures. If the target succeeds on three of these saves, the spell ends on the target. If the target fails three of the saves, the spell lasts for 7 days on it. Whenever the Poisoned target receives an effect that would end the Poisoned condition, the target must succeed on a Constitution saving throw, or the Poisoned condition doesn’t end on it.",https://www.dndbeyond.com/spells/2619063-contagion,
Contingency,6,Abjuration,10 Minutes,FALSE,10 Days,FALSE,Self,,,,Utility,TRUE,TRUE,TRUE,"Gem-encrusted statuette worth 1,000 GP",FALSE,Utility,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"Choose a spell of level 5 or lower that you can cast, that has a casting time of an action, and that can target you. You cast that spell—called the contingent spell—as part of casting Contingency, expending spell slots for both, but the contingent spell doesn’t come into effect. Instead, it takes effect when a certain trigger occurs. You describe that trigger when you cast the two spells. For example, a Contingency cast with Water Breathing might stipulate that Water Breathing comes into effect when you are engulfed in water or a similar liquid. The contingent spell takes effect immediately after the trigger occurs for the first time, whether or not you want it to, and then Contingency ends. The contingent spell takes effect only on you, even if it can normally target others. You can use only one Contingency spell at a time. If you cast this spell again, the effect of another Contingency spell on you ends. Also, Contingency ends on you if its material component is ever not on your person.",https://www.dndbeyond.com/spells/2619053-contingency,
Continual Flame,2,Evocation,1 Action,FALSE,Until Dispelled,FALSE,Touch,,,,Creation,TRUE,TRUE,TRUE,Ruby dust worth 50+ GP,TRUE,Creation,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"A flame springs from an object that you touch. The effect casts Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. It looks like a regular flame, but it creates no heat and consumes no fuel. The flame can be covered or hidden but not smothered or quenched.",https://www.dndbeyond.com/spells/2619065-continual-flame,
Control Water,4,Transmutation,1 Action,FALSE,10 Minutes,TRUE,300,,,Strength,Bludgeoning,TRUE,TRUE,TRUE,Mixture of water and dust,FALSE,Control,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"Until the spell ends, you control any water inside an area you choose that is a Cube up to 100 feet on a side, using one of the following effects. As a Magic action on your later turns, you can repeat the same effect or choose a different one. Flood. You cause the water level of all standing water in the area to rise by as much as 20 feet. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes. Any Huge or smaller vehicles in the wave’s path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing. The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts. Part Water. You part water in the area and create a trench. The trench extends across the spell’s area, and the separated water forms a wall to either side. The trench remains until the spell ends or you choose a different effect. The water then slowly fills in the trench over the course of the next round until the normal water level is restored. Redirect Flow. You cause flowing water in the area to move in a direction you choose, even if the water has to flow over obstacles, up walls, or in other unlikely directions. The water in the area moves as you direct it, but once it moves beyond the spell’s area, it resumes its flow based on the terrain. The water continues to move in the direction you chose until the spell ends or you choose a different effect. Whirlpool. You cause a whirlpool to form in the center of the area, which must be at least 50 feet square and 25 feet deep. The whirlpool lasts until you choose a different effect or the spell ends. The whirlpool is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature in the water and within 25 feet of the whirlpool is pulled 10 feet toward it. When a creature enters the whirlpool for the first time on a turn or ends its turn there, it makes a Strength saving throw. On a failed save, the creature takes 2d8 Bludgeoning damage. On a successful save, the creature takes half as much damage. A creature can swim away from the whirlpool only if it first takes an action to pull away and succeeds on a Strength (Athletics) check against your spell save DC.",https://www.dndbeyond.com/spells/2619070-control-water,
Control Weather,8,Transmutation,10 Minutes,FALSE,8 Hours,TRUE,Self,26400,Sphere,,Control,TRUE,TRUE,TRUE,Burning incense,FALSE,"Control, Environmnet",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell, and it ends early if you go indoors. When you cast the spell, you change the current weather conditions, which are determined by the DM. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal. When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.",https://www.dndbeyond.com/spells/2619054-control-weather,
Cordon of Arrows,2,Transmutation,1 Action,FALSE,8 Hours,FALSE,Touch,,,Dexterity,Piercing,TRUE,TRUE,TRUE,Four or more arrows or bolts,FALSE,"Damage, Control",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"You touch up to four nonmagical Arrows or Bolts and plant them in the ground in your space. Until the spell ends, the ammunition can’t be physically uprooted, and whenever a creature other than you enters a space within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 2d4 Piercing damage. The piece of ammunition is then destroyed. The spell ends when none of the ammunition remains planted in the ground. When you cast this spell, you can designate any creatures you choose, and the spell ignores them. Using a Higher-Level Spell Slot. The amount of ammunition that can be affected increases by two for each spell slot level above 2.",https://www.dndbeyond.com/spells/2619055-cordon-of-arrows,
Counterspell,3,Abjuration,1 Reaction,FALSE,Instantaneous,FALSE,60,,,Constitution,Negation,FALSE,TRUE,FALSE,,FALSE,Negation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"You attempt to interrupt a creature in the process of casting a spell. The creature makes a Constitution saving throw. On a failed save, the spell dissipates with no effect, and the action, Bonus Action, or Reaction used to cast it is wasted. If that spell was cast with a spell slot, the slot isn’t expended.  * - which you take when you see a creature within 60 feet of yourself casting a spell with Verbal, Somatic, or Material components",https://www.dndbeyond.com/spells/2619072-counterspell,
Create Food and Water,3,Conjuration,1 Action,FALSE,Instantaneous,FALSE,30,,,,Creation,TRUE,TRUE,FALSE,,FALSE,Creation,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You create 45 pounds of food and 30 gallons of fresh water on the ground or in containers within range—both useful in fending off the hazards of malnutrition and dehydration. The food is bland but nourishing and looks like a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten.",https://www.dndbeyond.com/spells/2619073-create-food-and-water,
Create or Destroy Water,1,Transmutation,1 Action,FALSE,Instantaneous,FALSE,30,30,Cube,,Creation,TRUE,TRUE,TRUE,Mix of water and sand,FALSE,Creation,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You do one of the following: Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there. Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot Cube within range. Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619074-create-or-destroy-water,
Create Undead,6,Necromancy,1 Minute,FALSE,Instantaneous,FALSE,10,,,,Control,TRUE,TRUE,TRUE,150+ GP black onyz stone for each corpse,FALSE,"Creation, Control",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PHB 2024,"You can cast this spell only at night. Choose up to three corpses of Medium or Small Humanoids within range. Each one becomes a Ghoul under your control (see the Monster Manual for its stat block). As a Bonus Action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to them). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a particular place. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow the order until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell rather than animating new ones. Using a Higher-Level Spell Slot. If you use a level 7 spell slot, you can animate or reassert control over four Ghouls. If you use a level 8 spell slot, you can animate or reassert control over five Ghouls or two Ghasts or Wights. If you use a level 9 spell slot, you can animate or reassert control over six Ghouls, three Ghasts or Wights, or two Mummies. See the Monster Manual for these stat blocks.",https://www.dndbeyond.com/spells/2619076-create-undead,
Creation,5,Illusion,1 Minute,FALSE,Special,FALSE,30,5,Cube,,Creation,TRUE,TRUE,TRUE,Paintbrush,FALSE,Creation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You pull wisps of shadow material from the Shadowfell to create an object within range. It is either an object of vegetable matter (soft goods, rope, wood, and the like) or mineral matter (stone, crystal, metal, and the like). The object must be no larger than a 5-foot Cube, and the object must be of a form and material that you have seen. The spell’s duration depends on the object’s material, as shown in the Materials table. If the object is composed of multiple materials, use the shortest duration. Using any object created by this spell as another spell’s Material component causes the other spell to fail. Using a Higher-Level Spell Slot. The Cube increases by 5 feet for each spell slot level above 5.",https://www.dndbeyond.com/spells/2619077-creation,
Crown of Madness,2,Enchantment,1 Action,FALSE,1 Minute,TRUE,120,,,Wisdom,Charmed,TRUE,TRUE,FALSE,,FALSE,Control,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"One creature that you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The creature succeeds automatically if it isn’t Humanoid. A spectral crown appears on the Charmed target's head, and it must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. The target can act normally on its turn if you choose no creature or if no creature is within its reach. The target repeats the save at the end of each of its turns, ending the spell on itself on a success. On your later turns, you must take the Magic action to maintain control of the target, or the spell ends.",https://www.dndbeyond.com/spells/2619056-crown-of-madness,
Crusader's Mantle,3,Evocation,1 Action,FALSE,1 Minute,TRUE,Self,30,Sphere,,Radiant,TRUE,FALSE,FALSE,,FALSE,"Damage, Debuff",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You radiate a magical aura in a 30-foot Emanation. While in the aura, you and your allies each deal an extra 1d4 Radiant damage when hitting with a weapon or an Unarmed Strike.",https://www.dndbeyond.com/spells/2619057-crusaders-mantle,
Cure Wounds,1,Abjuration,1 Action,FALSE,Instantaneous,FALSE,Touch,,,,Healing,TRUE,TRUE,FALSE,,FALSE,Healing,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PHB 2024,A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1.,https://www.dndbeyond.com/spells/2619079-cure-wounds,
Dancing Lights,Cantrip,Illusion,1 Action,FALSE,1 Minute,TRUE,120,,,,Utility,TRUE,TRUE,TRUE,Bit of phosphorus,FALSE,Utility,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You create up to four torch-size lights within range, making them appear as torches, lanterns, or glowing orbs that hover for the duration. Alternatively, you combine the four lights into one glowing Medium form that is vaguely humanlike. Whichever form you choose, each light sheds Dim Light in a 10-foot radius. As a Bonus Action, you can move the lights up to 60 feet to a space within range. A light must be within 20 feet of another light created by this spell, and a light vanishes if it exceeds the spell’s range.",https://www.dndbeyond.com/spells/2619058-dancing-lights,
Darkness,2,Evocation,1 Action,FALSE,10 Minutes,TRUE,60,15,Sphere,,Control,TRUE,FALSE,TRUE,Bat fur and a piece of coal,FALSE,Control,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"For the duration, magical Darkness spreads from a point within range and fills a 15-foot-radius Sphere. Darkvision can’t see through it, and nonmagical light can’t illuminate it. Alternatively, you cast the spell on an object that isn’t being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the Darkness. If any of this spell’s area overlaps with an area of Bright Light or Dim Light created by a spell of level 2 or lower, that other spell is dispelled.",https://www.dndbeyond.com/spells/2619080-darkness,
Darkvision,2,Transmutation,1 Action,FALSE,8 Hours,FALSE,Touch,,,,Buff,TRUE,TRUE,TRUE,Dried carrot,FALSE,Buff,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,PHB 2024,"For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",https://www.dndbeyond.com/spells/2619082-darkvision,
Daylight,3,Evocation,1 Action,FALSE,1 Hour,FALSE,60,60,Sphere,,Control,TRUE,TRUE,FALSE,,FALSE,Control,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,PHB 2024,"For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight’s area is Bright Light and sheds Dim Light for an additional 60 feet. Alternatively, you cast the spell on an object that isn’t being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight. If any of this spell’s area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",https://www.dndbeyond.com/spells/2619083-daylight,
Death Ward,4,Abjuration,1 Action,FALSE,8 Hours,FALSE,Touch,,,,Buff,TRUE,TRUE,FALSE,,FALSE,"Buff, Warding",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You touch a creature and grant it a measure of protection from death. The first time the target would drop to 0 Hit Points before the spell ends, the target instead drops to 1 Hit Point, and the spell ends. If the spell is still in effect when the target is subjected to an effect that would kill it instantly without dealing damage, that effect is negated against the target, and the spell ends.",https://www.dndbeyond.com/spells/2619085-death-ward,
Delayed Blast Fireball,7,Evocation,1 Action,FALSE,1 Minute,TRUE,150,20,Sphere,Dexterity,Fire,TRUE,TRUE,TRUE,Ball of bat guano and sulfur,FALSE,Damage,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"A beam of yellow light flashes from you, then condenses at a chosen point within range as a glowing bead for the duration. When the spell ends, the bead explodes, and each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw. A creature takes Fire damage equal to the total accumulated damage on a failed save or half as much damage on a successful one. The spell’s base damage is 12d6, and the damage increases by 1d6 whenever your turn ends and the spell hasn’t ended. If a creature touches the glowing bead before the spell ends, that creature makes a Dexterity saving throw. On a failed save, the spell ends, causing the bead to explode. On a successful save, the creature can throw the bead up to 40 feet. If the thrown bead enters a creature’s space or collides with a solid object, the spell ends, and the bead explodes. When the bead explodes, flammable objects in the explosion that aren’t being worn or carried start burning.",https://www.dndbeyond.com/spells/2619086-delayed-blast-fireball,
Demiplane,8,Conjuration,1 Action,FALSE,1 Hour,FALSE,60,,,,Utility,FALSE,TRUE,FALSE,,FALSE,Utility,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"You create a shadowy Medium door on a flat solid surface that you can see within range. This door can be opened and closed, and it leads to a demiplane that is an empty room 30 feet in each dimension, made of wood or stone (your choice). When the spell ends, the door vanishes, and any objects inside the demiplane remain there. Any creatures inside also remain unless they opt to be shunted through the door as it vanishes, landing with the Prone condition in the unoccupied spaces closest to the door’s former space. Each time you cast this spell, you can create a new demiplane or connect the shadowy door to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature, you can connect the shadowy door to that demiplane instead.",https://www.dndbeyond.com/spells/2619088-demiplane,
Destructive Wave,5,Evocation,1 Action,FALSE,Instantaneous,FALSE,Self,30,Sphere,Constitution,Thunder,TRUE,FALSE,FALSE,,FALSE,"Damage, Control",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"Destructive energy ripples outward from you in a 30-foot Emanation. Each creature you choose in the Emanation makes a Constitution saving throw. On a failed save, a target takes 5d6 Thunder damage and 5d6 Radiant or Necrotic damage (your choice) and has the Prone condition. On a successful save, a target takes half as much damage only.",https://www.dndbeyond.com/spells/2619089-destructive-wave,
Detect Good and Evil,1,Divination,1 Action,FALSE,10 Minutes,TRUE,Self,30,Sphere,,Detection,TRUE,TRUE,FALSE,,FALSE,Detection,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"For the duration, you sense the location of any Aberration, Celestial, Elemental, Fey, Fiend, or Undead within 30 feet of yourself. You also sense whether the Hallow spell is active there and, if so, where. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619090-detect-evil-and-good,
Detect Magic,1,Divination,1 Action,FALSE,10 Minutes,TRUE,Self,30,Sphere,,Detection,TRUE,TRUE,FALSE,,FALSE,Detection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PHB 2024,"For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell’s school of magic. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619097-detect-magic,
Detect Poison and Disease,1,Divination,1 Action,FALSE,10 Minutes,TRUE,Self,30,Sphere,,Detection,TRUE,TRUE,TRUE,Yew leaf,FALSE,Detection,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619093-detect-poison-and-disease,
Detect Thoughts,2,Divination,1 Action,FALSE,1 Minute,TRUE,Self,,,Wisdom,Detection,TRUE,TRUE,TRUE,1 copper piece,FALSE,"Social, Detection",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You activate one of the effects below. Until the spell ends, you can activate either effect as a Magic action on your later turns. Sense Thoughts. You sense the presence of thoughts within 30 feet of yourself that belong to creatures that know languages or are telepathic. You don’t read the thoughts, but you know that a thinking creature is present. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead. Read Thoughts. Target one creature you can see within 30 feet of yourself or one creature within 30 feet of yourself that you detected with the Sense Thoughts option. You learn what is most on the target’s mind right now. If the target doesn’t know any languages and isn’t telepathic, you learn nothing. As a Magic action on your next turn, you can try to probe deeper into the target’s mind. If you probe deeper, the target makes a Wisdom saving throw. On a failed save, you discern the target’s reasoning, emotions, and something that looms large in its mind (such as a worry, love, or hate). On a successful save, the spell ends. Either way, the target knows that you are probing into its mind, and until you shift your attention away from the target’s mind, the target can take an action on its turn to make an Intelligence (Arcana) check against your spell save DC, ending the spell on a success.",https://www.dndbeyond.com/spells/2619099-detect-thoughts,
Dimension Door,4,Conjuration,1 Action,FALSE,Instantaneous,FALSE,500,,,,Teleportation,TRUE,FALSE,FALSE,,FALSE,Teleportation,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"You teleport to a location within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as “200 feet straight downward” or “300 feet upward to the northwest at a 45-degree angle.” You can also teleport one willing creature. The creature must be within 5 feet of you when you teleport, and it teleports to a space within 5 feet of your destination space. If you, the other creature, or both would arrive in a space occupied by a creature or completely filled by one or more objects, you and any creature traveling with you each take 4d6 Force damage, and the teleportation fails.",https://www.dndbeyond.com/spells/2619100-dimension-door,
Disguise Self,1,Illusion,1 Action,FALSE,1 Hour,FALSE,Self,,,,Shapechanging,TRUE,TRUE,FALSE,,FALSE,Shapechanging,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends. You can seem 1 foot shorter or taller and can appear heavier or lighter. You must adopt a form that has the same basic arrangement of limbs as you have. Otherwise, the extent of the illusion is up to you. The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing. To discern that you are disguised, a creature must take the Study action to inspect your appearance and succeed on an Intelligence (Investigation) check against your spell save DC.",https://www.dndbeyond.com/spells/2619102-disguise-self,
Disintegrate,6,Transmutation,1 Action,FALSE,Instantaneous,FALSE,60,,,Dexterity,Force,TRUE,TRUE,TRUE,Lodestone and dust,FALSE,"Damage, Control",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You launch a green ray at a target you can see within range. The target can be a creature, a nonmagical object, or a creation of magical force, such as the wall created by Wall of Force. A creature targeted by this spell makes a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 Force damage. If this damage reduces it to 0 Hit Points, it and everything nonmagical it is wearing and carrying are disintegrated into gray dust. The target can be revived only by a True Resurrection or a Wish spell. This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. If such a target is Huge or larger, this spell disintegrates a 10-foot-Cube portion of it. Using a Higher-Level Spell Slot. The damage increases by 3d6 for each spell slot level above 6.",https://www.dndbeyond.com/spells/2619094-disintegrate,
